bank,d,tt_buy,tt_sell,n_buy,n_sell,mid
cbsl,2005-01-03,103.52,104.57,,,
cbsl,2005-01-04,102.64,103.94,,,
cbsl,2005-01-05,100.12,101.76,,,
cbsl,2005-01-06,98.53,100.33,,,
cbsl,2005-01-07,98.58,100.24,,,
cbsl,2005-01-10,97.59,99.54,,,
cbsl,2005-01-11,97.4,99.11,,,
cbsl,2005-01-12,97.47,98.94,,,
cbsl,2005-01-13,97.58,99.05,,,
cbsl,2005-01-17,97.76,99.17,,,
cbsl,2005-01-18,97.79,99.18,,,
cbsl,2005-01-19,97.84,99.21,,,
cbsl,2005-01-20,97.87,99.18,,,
cbsl,2005-01-25,98,99.2,,,
cbsl,2005-01-26,98.12,99.31,,,
cbsl,2005-01-27,98.17,99.36,,,
cbsl,2005-01-28,98.58,99.64,,,
cbsl,2005-01-31,98.81,100.13,,,
cbsl,2005-02-01,98.48,99.8,,,
cbsl,2005-02-02,98.7,100,,,
cbsl,2005-02-03,98.78,100.03,,,
cbsl,2005-02-07,98.84,99.99,,,
cbsl,2005-02-08,98.94,99.97,,,
cbsl,2005-02-09,98.97,99.94,,,
cbsl,2005-02-10,99.03,99.92,,,
cbsl,2005-02-11,99.02,99.91,,,
cbsl,2005-02-14,99,99.93,,,
cbsl,2005-02-15,98.94,99.87,,,
cbsl,2005-02-16,98.93,99.86,,,
cbsl,2005-02-17,98.92,99.85,,,
cbsl,2005-02-18,98.94,99.77,,,
cbsl,2005-02-21,98.97,99.74,,,
cbsl,2005-02-22,98.92,99.79,,,
cbsl,2005-02-24,98.91,99.78,,,
cbsl,2005-02-25,98.91,99.82,,,
cbsl,2005-02-28,98.97,99.9,,,
cbsl,2005-03-01,99.01,99.92,,,
cbsl,2005-03-02,99.07,99.97,,,
cbsl,2005-03-03,99.14,100.04,,,
cbsl,2005-03-04,99.2,100.12,,,
cbsl,2005-03-07,99.2,100.12,,,
cbsl,2005-03-09,99.17,100.06,,,
cbsl,2005-03-10,99.05,99.08,,,
cbsl,2005-03-11,98.94,99.87,,,
cbsl,2005-03-14,98.62,99.66,,,
cbsl,2005-03-15,98.62,99.53,,,
cbsl,2005-03-16,98.79,99.83,,,
cbsl,2005-03-17,98.8,99.77,,,
cbsl,2005-03-18,98.82,99.78,,,
cbsl,2005-03-21,98.88,99.83,,,
cbsl,2005-03-22,98.94,99.88,,,
cbsl,2005-03-23,98.93,99.87,,,
cbsl,2005-03-24,98.93,99.86,,,
cbsl,2005-03-28,98.93,99.86,,,
cbsl,2005-03-29,98.97,99.8,,,
cbsl,2005-03-30,98.94,99.87,,,
cbsl,2005-03-31,98.98,99.86,,,
cbsl,2005-04-01,99.12,100,,,
cbsl,2005-04-04,99.17,100.12,,,
cbsl,2005-04-05,99.22,100.17,,,
cbsl,2005-04-06,99.25,100.17,,,
cbsl,2005-04-07,99.23,100.15,,,
cbsl,2005-04-08,99.11,100.03,,,
cbsl,2005-04-11,99.14,100.04,,,
cbsl,2005-04-12,99.1,100.02,,,
cbsl,2005-04-15,99.06,100.06,,,
cbsl,2005-04-18,99.12,100.02,,,
cbsl,2005-04-19,99.21,100.12,,,
cbsl,2005-04-20,99.22,100.14,,,
cbsl,2005-04-21,99.27,100.2,,,
cbsl,2005-04-25,99.33,100.21,,,
cbsl,2005-04-26,99.3,100.21,,,
cbsl,2005-04-27,99.28,100.09,,,
cbsl,2005-04-28,99.28,100.19,,,
cbsl,2005-04-29,99.37,100.27,,,
cbsl,2005-05-03,99.25,100.17,,,
cbsl,2005-05-04,99.32,100.22,,,
cbsl,2005-05-05,99.38,100.18,,,
cbsl,2005-05-06,99.39,100.29,,,
cbsl,2005-05-09,99.39,100.29,,,
cbsl,2005-05-10,99.39,100.29,,,
cbsl,2005-05-11,99.39,100.27,,,
cbsl,2005-05-12,99.39,100.28,,,
cbsl,2005-05-13,99.39,100.28,,,
cbsl,2005-05-16,99.38,100.27,,,
cbsl,2005-05-17,99.08,100.03,,,
cbsl,2005-05-18,99.22,100.05,,,
cbsl,2005-05-19,99.27,100.17,,,
cbsl,2005-05-20,99.35,100.25,,,
cbsl,2005-05-25,99.45,100.34,,,
cbsl,2005-05-26,99.45,100.34,,,
cbsl,2005-05-27,99.47,100.36,,,
cbsl,2005-05-30,99.52,100.31,,,
cbsl,2005-05-31,99.47,100.36,,,
cbsl,2005-06-01,99.5,100.29,,,
cbsl,2005-06-02,99.47,100.36,,,
cbsl,2005-06-03,99.47,100.36,,,
cbsl,2005-06-06,99.5,100.35,,,
cbsl,2005-06-07,99.5,100.35,,,
cbsl,2005-06-08,99.53,100.38,,,
cbsl,2005-06-09,99.52,100.37,,,
cbsl,2005-06-10,99.42,100.36,,,
cbsl,2005-06-13,99.53,100.37,,,
cbsl,2005-06-14,99.53,100.38,,,
cbsl,2005-06-15,99.79,100.66,,,
cbsl,2005-06-16,99.9,100.86,,,
cbsl,2005-06-17,99.82,100.76,,,
cbsl,2005-06-20,99.66,100.58,,,
cbsl,2005-06-22,99.6,100.53,,,
cbsl,2005-06-23,99.52,100.42,,,
cbsl,2005-06-24,99.36,100.28,,,
cbsl,2005-06-27,99.3,100.22,,,
cbsl,2005-06-28,99.37,100.18,,,
cbsl,2005-06-29,99.38,100.29,,,
cbsl,2005-06-30,99.57,100.53,,,
cbsl,2005-07-01,99.67,100.6,,,
cbsl,2005-07-04,99.66,100.57,,,
cbsl,2005-07-05,99.68,98.78,,,
cbsl,2005-07-06,99.64,100.46,,,
cbsl,2005-07-07,99.55,100.42,,,
cbsl,2005-07-08,99.64,100.5,,,
cbsl,2005-07-11,99.61,100.54,,,
cbsl,2005-07-12,99.62,100.55,,,
cbsl,2005-07-13,99.61,100.54,,,
cbsl,2005-07-14,99.72,100.65,,,
cbsl,2005-07-15,99.81,100.83,,,
cbsl,2005-07-18,99.78,100.7,,,
cbsl,2005-07-19,99.88,100.73,,,
cbsl,2005-07-20,99.85,100.72,,,
cbsl,2005-07-22,99.84,100.76,,,
cbsl,2005-07-25,99.89,100.91,,,
cbsl,2005-07-26,100.13,101.1,,,
cbsl,2005-07-27,100.14,101.09,,,
cbsl,2005-07-28,100.16,101.09,,,
cbsl,2005-07-29,100.08,101.02,,,
cbsl,2005-08-01,100.19,101.11,,,
cbsl,2005-08-02,100.04,101.04,,,
cbsl,2005-08-03,100.01,100.9,,,
cbsl,2005-08-04,100.04,100.93,,,
cbsl,2005-08-05,100.1,101,,,
cbsl,2005-08-08,100.16,101.06,,,
cbsl,2005-08-09,100.22,101.15,,,
cbsl,2005-08-10,100.22,101.15,,,
cbsl,2005-08-11,100.18,101.08,,,
cbsl,2005-08-12,100.26,101.17,,,
cbsl,2005-08-15,100.34,101.27,,,
cbsl,2005-08-16,100.41,101.34,,,
cbsl,2005-08-17,100.31,101.34,,,
cbsl,2005-08-18,100.34,101.37,,,
cbsl,2005-08-22,100.36,101.36,,,
cbsl,2005-08-23,100.35,101.37,,,
cbsl,2005-08-24,100.22,101.24,,,
cbsl,2005-08-25,100.26,101.28,,,
cbsl,2005-08-26,100.26,101.28,,,
cbsl,2005-08-29,100.37,101.39,,,
cbsl,2005-08-30,100.52,101.54,,,
cbsl,2005-08-31,100.73,101.79,,,
cbsl,2005-09-01,100.72,101.76,,,
cbsl,2005-09-02,100.81,101.85,,,
cbsl,2005-09-05,100.8,101.85,,,
cbsl,2005-09-06,100.87,101.9,,,
cbsl,2005-09-07,100.81,101.85,,,
cbsl,2005-09-08,100.82,101.86,,,
cbsl,2005-09-09,100.89,101.83,,,
