bank,ts,eff,tt_buy,tt_sell,n_buy,n_sell,mid
sampath,1789718400,2026-09-18T10:35:19,326.25,334.25,326,,
seylan,1789718400,2026-09-18T11:03:44,328.15,335.15,327.4,336.65,
boc,1789718400,2026-09-18T14:20:05,327.2,336.2,327.2,336.2,
combank,1789718400,2026-09-18,326,334,324.09,334,
peoples,1789718400,2026-09-18T14:28:58,327.1541,334.7966,326.9251,335.0309,
ndb,1789718400,2026-09-18,327,336,327,336,
ntb,1789718400,2026-09-18T14:10:00,325.01,335.99,322.58,335.99,
nsb,1789718400,2026-09-18,327.5,335.5,324,336.5,
dfcc,1789718400,2026-09-18,325.75,335.25,324.5,336.5,
cbsl,1789718400,2026-09-18,,,,,332.1338
seylan,1789725600,2026-09-18T15:35:41,327.5,334.5,326.75,336,
ntb,1789725600,2026-09-18T16:10:00,325.41,336.39,322.97,336.39,
dfcc,1789905600,2026-09-19,326.75,336.25,325.5,337.5,
sampath,1789981200,2026-09-21T08:08:42,327.25,335.25,327,,
ndb,1789981200,2026-09-21,326.5,335.5,326.5,335.5,
ntb,1789981200,2026-09-21T15:10:00,325.65,336.65,323.21,336.65,
dfcc,1789981200,2026-09-21,325.75,335.25,324.5,336.5,
cbsl,1789981200,2026-09-21,,,,,330.349
sampath,1790067600,2026-09-22T14:17:39,325.5,333.5,325.25,,
seylan,1790067600,2026-09-22T11:00:15,327.3,334.3,326.55,335.8,
peoples,1790067600,2026-09-22T14:46:34,326.6599,334.2908,326.4313,334.5248,
ndb,1790067600,2026-09-22,326.3,335.3,326.3,335.3,
ntb,1790067600,2026-09-22T14:10:00,325.31,336.29,322.87,336.29,
nsb,1790067600,2026-09-22,327,335,323.5,336,
cbsl,1790067600,2026-09-22,,,,,330.8125
ntb,1790067600,2026-09-22T15:10:00,324.23,335.17,321.8,335.17,
seylan,1790085600,2026-09-22T16:23:44,326,333,325.25,334.5,
peoples,1790085600,2026-09-22T20:19:04,326.1657,333.7851,325.9374,334.0187,
dfcc,1790085600,2026-09-22,324.5,334,323.25,335.25,
